"SAMPLE_NUM,HEX_VALUE",SAMPLE_NUM,HEX_VALUE,,,
"338,0x46430D0A",338,0x46430D0A,,,
"339,0x30783046",339,0x30783046,,,
"340,0x46464646",340,0x46464646,,,
"341,0x46390D0A",341,0x46390D0A,,,
"342,0x30783046",342,0x30783046,,,
"343,0x46464646",343,0x46464646,,,
"344,0x46460D0A",344,0x46460D0A,,,
"345,0x30783046",345,0x30783046,,,
"346,0x46464646",346,0x46464646,,,
"347,0x46450D0A",347,0x46450D0A,,,
"348,0x30783046",348,0x30783046,,,
"349,0x46464646",349,0x46464646,,,
"350,0x46410D0A",350,0x46410D0A,,,
"351,0x30783046",351,0x30783046,,,
"352,0x46464646",352,0x46464646,,,
"353,0x46430D0A",353,0x46430D0A,,,
"354,0x30783046",354,0x30783046,,,
"355,0x46464646",355,0x46464646,,,
"356,0x46460D0A",356,0x46460D0A,,,
"357,0x30783046",357,0x30783046,,,
"358,0x46464646",358,0x46464646,,,
"359,0x46430D0A",359,0x46430D0A,,,
"360,0x30783046",360,0x30783046,,,
"361,0x46464646",361,0x46464646,,,
"362,0x46450D0A",362,0x46450D0A,,,
"363,0x30783046",363,0x30783046,,,
"364,0x46464646",364,0x46464646,,,
"365,0x46440D0A",365,0x46440D0A,,,
"366,0x30783046",366,0x30783046,,,
"367,0x46464646",367,0x46464646,,,
"368,0x46440D0A",368,0x46440D0A,,,
"369,0x30783046",369,0x30783046,,,
"370,0x46464646",370,0x46464646,,,
"371,0x46450D0A",371,0x46450D0A,,,
"372,0x30783046",372,0x30783046,,,
"373,0x46464646",373,0x46464646,,,
"374,0x46410D0A",374,0x46410D0A,,,
"375,0x30783046",375,0x30783046,,,
"376,0x46464646",376,0x46464646,,,
"377,0x46440D0A",377,0x46440D0A,,,
"378,0x30783046",378,0x30783046,,,
"379,0x46464646",379,0x46464646,,,
"380,0x46430D0A",380,0x46430D0A,,,
"381,0x30783046",381,0x30783046,,,
"382,0x46464646",382,0x46464646,,,
"383,0x46450D0A",383,0x46450D0A,,,
"384,0x30783046",384,0x30783046,,,
"385,0x46464646",385,0x46464646,,,
"386,0x46460D0A",386,0x46460D0A,,,
"387,0x30783046",387,0x30783046,,,
"388,0x46464646",388,0x46464646,,,
"389,0x46430D0A",389,0x46430D0A,,,
"390,0x30783046",390,0x30783046,,,
